Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	70	7.345225603357817	5.247162160734825E-68	ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000136942, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	94	16792	14.129582882558001	1.9734576886523675E-64	1.9734576886523675E-64	1.9167883373164315E-64
GOTERM_BP_DIRECT	GO:0019083~viral transcription	71	7.450157397691501	3.134642307161915E-61	ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000111581, ENSG00000136942, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	112	16792	12.028167877320419	1.1789389717235963E-57	5.8946948586179815E-58	5.725424174031238E-58
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	71	7.450157397691501	1.4400814586801332E-58	ENSG00000142937, ENSG00000114867, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000136942, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	119	16792	11.320628590419217	5.416146366095981E-55	1.805382122031994E-55	1.753539189519509E-55
GOTERM_BP_DIRECT	GO:0006413~translational initiation	74	7.76495278069255	9.126571974671616E-57	ENSG00000142937, ENSG00000114867, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000106682, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000136942, ENSG00000173812, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000110321, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	137	16792	10.248736030351768	3.4325037196739947E-53	8.581259299184987E-54	8.334841855868854E-54
GOTERM_BP_DIRECT	GO:0006412~translation	77	8.0797481636936	3.306367646963473E-37	ENSG00000142937, ENSG00000114867, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000005022, ENSG00000169100, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000136942, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000180992, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000146648, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000140105, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000196531, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	253	16792	5.7746990911324	1.2435248720229622E-33	2.487049744045924E-34	2.4156322028715133E-34
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	71	7.450157397691501	5.186322686303064E-37	ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000115268, ENSG00000136942, ENSG00000149806, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000213923, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000105640	885	214	16792	6.295115898410687	1.9505759623185826E-33	3.2509599371976377E-34	3.157606128844182E-34
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	47	4.931794333683106	3.468774046481233E-18	ENSG00000172270, ENSG00000108821, ENSG00000026508, ENSG00000130635, ENSG00000105855, ENSG00000118271, ENSG00000134871, ENSG00000120708, ENSG00000139329, ENSG00000137801, ENSG00000132692, ENSG00000115414, ENSG00000041982, ENSG00000116962, ENSG00000135424, ENSG00000173402, ENSG00000005884, ENSG00000116147, ENSG00000135862, ENSG00000187498, ENSG00000164692, ENSG00000049540, ENSG00000130508, ENSG00000106366, ENSG00000107742, ENSG00000077942, ENSG00000110799, ENSG00000091136, ENSG00000133110, ENSG00000142192, ENSG00000131095, ENSG00000204262, ENSG00000130287, ENSG00000118785, ENSG00000113140, ENSG00000038427, ENSG00000142156, ENSG00000142871, ENSG00000182492, ENSG00000142173, ENSG00000188157, ENSG00000163359, ENSG00000138080, ENSG00000182871, ENSG00000091986, ENSG00000125398, ENSG00000011465	885	196	16792	4.54989046466044	1.3046059188815916E-14	1.863722741259417E-15	1.8102045131137063E-15
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	54	5.6663168940188875	4.7107302864594773E-17	ENSG00000172270, ENSG00000074800, ENSG00000197694, ENSG00000182718, ENSG00000114867, ENSG00000099942, ENSG00000115310, ENSG00000197728, ENSG00000126777, ENSG00000166913, ENSG00000109475, ENSG00000106682, ENSG00000115306, ENSG00000104419, ENSG00000158710, ENSG00000096384, ENSG00000119139, ENSG00000169710, ENSG00000149925, ENSG00000122545, ENSG00000204389, ENSG00000168385, ENSG00000165119, ENSG00000162244, ENSG00000167658, ENSG00000204628, ENSG00000122786, ENSG00000075618, ENSG00000028528, ENSG00000198242, ENSG00000067057, ENSG00000044574, ENSG00000117519, ENSG00000115415, ENSG00000110321, ENSG00000134333, ENSG00000174748, ENSG00000089009, ENSG00000117592, ENSG00000140988, ENSG00000184640, ENSG00000127603, ENSG00000109971, ENSG00000148303, ENSG00000188846, ENSG00000108953, ENSG00000108518, ENSG00000067225, ENSG00000072134, ENSG00000178209, ENSG00000132002, ENSG00000114391, ENSG00000164924, ENSG00000124942	885	271	16792	3.7807992995184185	1.7717056607374095E-13	2.214632075921762E-14	2.1510372170545588E-14
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	70	7.345225603357817	2.0613990593276524E-15	ENSG00000149294, ENSG00000129244, ENSG00000108821, ENSG00000130635, ENSG00000120708, ENSG00000132692, ENSG00000113296, ENSG00000143878, ENSG00000169862, ENSG00000167123, ENSG00000101955, ENSG00000184144, ENSG00000129009, ENSG00000143153, ENSG00000105426, ENSG00000091136, ENSG00000170382, ENSG00000133110, ENSG00000181790, ENSG00000159840, ENSG00000152377, ENSG00000002586, ENSG00000130287, ENSG00000010278, ENSG00000038427, ENSG00000168028, ENSG00000118523, ENSG00000163453, ENSG00000142173, ENSG00000151914, ENSG00000138080, ENSG00000187764, ENSG00000182871, ENSG00000108691, ENSG00000018236, ENSG00000112902, ENSG00000026508, ENSG00000105855, ENSG00000136235, ENSG00000134013, ENSG00000240184, ENSG00000154229, ENSG00000137801, ENSG00000115414, ENSG00000041982, ENSG00000135424, ENSG00000005884, ENSG00000116147, ENSG00000135862, ENSG00000168036, ENSG00000105290, ENSG00000204655, ENSG00000188404, ENSG00000010327, ENSG00000070413, ENSG00000105695, ENSG00000149557, ENSG00000108679, ENSG00000110799, ENSG00000154096, ENSG00000142192, ENSG00000198910, ENSG00000118785, ENSG00000171603, ENSG00000142156, ENSG00000142871, ENSG00000138061, ENSG00000205336, ENSG00000163359, ENSG00000272398	885	459	16792	2.8936400674519653	7.933542711668906E-12	8.614357624590334E-13	8.366989737471016E-13
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	31	3.2528856243441764	5.630858791596364E-15	ENSG00000124491, ENSG00000135404, ENSG00000205542, ENSG00000198668, ENSG00000137801, ENSG00000115414, ENSG00000136854, ENSG00000143933, ENSG00000167244, ENSG00000084234, ENSG00000160014, ENSG00000129009, ENSG00000091513, ENSG00000102265, ENSG00000106366, ENSG00000104112, ENSG00000108679, ENSG00000112715, ENSG00000130402, ENSG00000071127, ENSG00000072110, ENSG00000110799, ENSG00000142192, ENSG00000159348, ENSG00000197746, ENSG00000175899, ENSG00000196924, ENSG00000113140, ENSG00000010278, ENSG00000149925, ENSG00000122862	885	103	16792	5.710624760024134	2.129529885763759E-11	2.1177659915193925E-12	2.056952716570152E-12
